text_id,text_length,total_sentences,topic_id
720,3275,543,4
721,3146,245,3
722,3504,456,3
723,3067,408,10
724,2983,346,11
725,3237,405,0
726,3115,262,3
727,3651,462,0
728,3208,526,9
729,3314,467,11
730,3462,344,11
731,2475,537,3
732,3347,614,1
733,3751,525,3
734,3022,390,0
735,3322,445,4
736,3538,444,3
737,3616,313,7
738,3257,396,1
739,3877,458,10
740,3101,523,3
741,4581,746,10
742,3990,586,1
743,4393,582,0
744,3254,424,1
745,3794,360,11
746,4828,603,10
747,2776,373,10
748,3103,523,1
749,1667,352,11
750,4065,568,1
751,3333,375,11
752,4146,606,3
753,4565,545,3
754,3600,314,1
755,3097,435,3
756,4037,538,11
757,3509,481,10
758,3804,432,10
759,4097,593,9
760,3746,411,3
761,2701,393,3
762,3300,459,10
763,3800,625,8
764,3219,474,11
765,3203,534,11
766,4412,459,3
767,2711,301,4
768,3868,628,10
769,5017,949,5
770,4117,781,10
771,3861,659,4
772,2743,432,3
773,4173,705,0
774,3076,425,3
775,3512,613,0
776,3331,522,1
777,1929,319,1
778,3466,384,11
779,2973,431,3
780,4301,747,9
781,3031,398,4
782,2807,399,0
783,3200,410,4
784,3794,533,3
785,3498,494,10
786,2751,441,8
787,3728,504,3
788,3253,439,11
789,3560,412,3
790,3763,530,0
791,3691,547,10
792,3350,441,3
793,4019,574,10
794,2716,385,3
795,3446,564,3
796,2511,511,10
797,3312,474,3
798,1958,279,12
799,2860,375,11
800,3266,661,13
801,3674,271,1
802,2751,608,3
803,3561,477,11
804,3491,599,10
805,3563,726,5
806,2830,349,11
807,2324,303,0
808,2829,402,3
809,3803,488,10
810,3536,446,3
811,3351,514,10
812,2769,388,3
813,3683,425,3
814,3015,405,3
815,2926,433,4
816,3327,462,6
817,2419,367,11
818,2861,523,9
819,3527,406,3
820,3932,519,9
821,4634,602,9
822,3462,372,10
823,2794,566,9
824,3602,497,12
825,3835,454,1
826,3740,334,3
827,3656,530,11
828,3927,887,11
829,3206,365,11
830,3800,433,1
831,2753,405,3
832,2238,324,14
833,3274,434,10
834,3539,896,3
835,3850,589,10
836,2749,317,11
837,4343,593,11
838,3509,430,3
839,3755,389,10
840,3532,235,11
841,3370,531,9
