,year,name,living_place,is_chairman,got_sick
200,1994,Angela Preasent,Contignac (Frankreich),,
201,1994,Thomas Rothschild,Stuttgart,,
202,1994,Wilfried Schoeller,Frankfurt/Main,,
203,1995,Klaus Amann,Klagenfurt,,
204,1995,Verena Auffermann,Frankfurt/Main,,
205,1995,Iso Camartin,Zürich,,
206,1995,Peter Demetz,New Haven (USA),True,
207,1995,Konstanze Fliedl,Wien,,
208,1995,Thomas Hettche,Berlin,,
209,1995,Andreas Isenschmid,Zürich,,
210,1995,Iris Radisch,Hamburg,,
211,1995,Thomas Rothschild,Stuttgart,,
212,1995,Ferdinand Schmatz,Wien,,
213,1995,Wilfried Schoeller,Frankfurt/Main,,
214,1996,Klaus Amann,Klagenfurt,,
215,1996,Verena Auffermann,Frankfurt/Main,,
216,1996,Peter Demetz,New Haven (USA),True,
217,1996,Franz Haas,Rom,,
218,1996,Thomas Hettche,Berlin,,
219,1996,Christoph Kuhn,Zürich,,
220,1996,Iris Radisch,Hamburg,,
221,1996,Hardy Ruoss,Richterswil,,
222,1996,Ferdinand Schmatz,Wien,,
223,1996,Wilfried Schoeller,Frankfurt/Main,,
224,1996,Sabine Scholl,Wien,,
225,1997,Klaus Amann,Klagenfurt,,
226,1997,Silvia Bovenschen,Frankfurt/Main,,
227,1997,Iso Camartin,Zürich,True,
228,1997,Barbara Frischmuth,Altaussee,,
229,1997,Thomas Hettche,Frankfurt/Main,,
230,1997,Iris Radisch,Hamburg,,
231,1997,Hardy Ruoss,Richterswil,,
232,1998,Silvia Bovenschen,Frankfurt/Main,,
233,1998,Iso Camartin,Zürich,True,
234,1998,Thomas Hettche,Frankfurt/Main,,
235,1998,Ulrike Längle,Bregenz,,
236,1998,Iris Radisch,Hamburg,,
237,1998,Hardy Ruoss,Richterswil,,
238,1998,Robert Schindel,Berlin,,
239,1999,Dieter Bachmann,Arzo,,
240,1999,Silvia Bovenschen,Frankfurt/Main,,
241,1999,Thomas Hettche,Frankfurt/Main,,
242,1999,Ulrike Längle,Bregenz,,
243,1999,Iris Radisch,Hamburg,,
244,1999,Hardy Ruoss,Richterswil,,
245,1999,Robert Schindel,Berlin,True,
246,2000,Elisabeth Bronfen,Zürich,,
247,2000,Ulrike Längle,Bregenz,,
248,2000,Iris Radisch,Hamburg,,
249,2000,Hardy Ruoss,Richterswil,,
250,2000,Denis Scheck,Köln,,
251,2000,Robert Schindel,Wien,True,
252,2000,Burkhard Spinnen,Münster,,
253,2001,Elisabeth Bronfen,Zürich,,
254,2001,Ulrike Längle,Bregenz,,
255,2001,Iris Radisch,Hamburg,,
256,2001,Hardy Ruoss,Richterswil,,
257,2001,Denis Scheck,Köln,,
258,2001,Robert Schindel,Wien,True,
259,2001,Burkhard Spinnen,Münster,,
260,2002,Denis Scheck,Köln,,
261,2002,Konstanze Fliedl,,,
262,2002,Pia Reinacher,,,
263,2002,Thomas Widmer,,,
264,2002,Birgit Vanderbeke,,,
265,2002,Burkhard Spinnen,Münster,"",
266,2003,Josef Haslinger,,,
267,2003,Iris Radisch,Hamburg,True,
268,2003,Friederike Kretzen,,,
269,2003,Ilma Rakusa,Zürich,,
270,2003,Norbert Miller,Berlin,,
271,2003,Ursula März,Berlin,,
272,2003,Burkhard Spinnen,Münster,,
273,2003,Thomas Steinfeld,,,
274,2003,Daniela Strigl,Wien,,
275,2004,Iris Radisch,Hamburg,True,
276,2004,Daniela Strigl,Wien,,
277,2004,Burkhard Spinnen,Münster,,
278,2004,Ilma Rakusa,Zürich,,
279,2004,Klaus Nüchtern,Wien,,
280,2004,Norbert Miller,Berlin,,
281,2004,Martin Ebel,Zürich,,
282,2004,Ursula März,Berlin,,
283,2004,Heinrich Detering,Kiel,,
284,2005,Iris Radisch,Hamburg,True,
285,2005,Daniela Strigl,Wien,,
286,2005,Burkhard Spinnen,Münster,,
287,2005,Ilma Rakusa,Zürich,,
288,2005,Klaus Nüchtern,Wien,,
289,2005,Norbert Miller,Berlin,,
290,2005,Martin Ebel,Zürich,,
291,2005,Ursula März,Berlin,,
292,2005,Heinrich Detering,Kiel,,
293,2006,Iris Radisch,Hamburg,True,
294,2006,Karl Corino,Tübingen,,
295,2006,Heinrich Detering,Kiel,,
296,2006,Martin Ebel,Zürich,,
297,2006,Ursula März,Berlin,,
298,2006,Klaus Nüchtern,Wien,,
299,2006,Ilma Rakusa,Zürich,,
300,2006,Burkhard Spinnen,Münster,,
301,2006,Daniela Strigl,Wien,,
302,2007,Iris Radisch,Hamburg,True,
303,2007,Karl Corino,Tübingen,,
304,2007,Martin Ebel,Zürich,,
305,2007,Andre Vladimir Heiz,Colombier,,
306,2007,Ursula März,Berlin,,
307,2007,Ijoma Alexander Mangold,München,,
308,2007,Klaus Nüchtern,Wien,,
309,2007,Ilma Rakusa,Zürich,,
310,2007,Daniela Strigl,Wien,,
311,2008,Burkhard Spinnen,Münster,True,
312,2008,Andre Vladimir Heiz,Biel,,
313,2008,Ursula März,Berlin,,
314,2008,Ijoma Alexander Mangold,Berlin,,
315,2008,Klaus Nüchtern,Wien,,
316,2008,Daniela Strigl,Wien,,
317,2008,Alain Claude Sulzer,Basel,,
318,2009,Burkhard Spinnen,Münster,True,
319,2009,Meike Feßmann,Berlin,,
320,2009,Karin Fleischanderl,,,
321,2009,Paul Jandl,Wien,,
322,2009,Hildegard Elisabeth Keller,Bloomington (USA),,
323,2009,Ijoma Alexander Mangold,Berlin,,
324,2009,Alain Claude Sulzer,Basel,,
325,2010,Hubert Winkels,Düsseldorf,,
326,2010,Burkhard Spinnen,Münster,True,
327,2010,Meike Feßmann,Berlin,,
328,2010,Karin Fleischanderl,,,
329,2010,Paul Jandl,Wien,,
330,2010,Hildegard Elisabeth Keller,Bloomington (USA),,
331,2010,Hubert Winkels,Düsseldorf,,
332,2010,Alain Claude Sulzer,Basel,,
