author_id,goodreads_genre,total_publications,goodreads_followers,average_rating,ratings_count
215,,2,,2.0,2
216,,2,1,4.0,1
217,,1,,0.0,0
218,,3,,2.6,5
220,Short Story,5,,4.0,3
221,,6,,3.0,3
222,,2,,0.0,0
223,,13,7,3.4,295
224,,4,,0.0,0
225,,2,,0.0,0
226,,16,1,3.32,38
227,,5,,1.6,5
228,,6,,0.0,0
229,Fiction,13,1,3.71,38
231,,26,,3.21,124
232,,1,,0.0,0
234,,17,,3.77,26
235,,32,1,3.57,93
236,,0,,0.0,0
237,,0,,0.0,0
238,,25,,3.9,87
239,,10,,2.8,5
241,,5,,3.5,4
242,,11,1,3.74,31
244,Fiction,16,5,3.5,272
245,Literature & Fiction|Short Stories,13,6,3.14,676
246,,6,,2.6,5
247,,9,0,0.0,0
248,,10,1,4.25,8
249,,10,,4.33,3
250,,8,,2.33,3
251,,4,12,3.67,242
253,,20,2,2.78,82
254,Music|Poetry,9,,4.3,10
255,,4,2,3.0,2
256,,1,,4.0,5
257,,14,,3.57,47
258,,20,1,3.69,8
259,,10,,3.61,28
260,,62,14,3.72,621
261,,1,,0.0,0
262,,11,2,3.27,15
263,,62,1,3.86,111
265,,9,1,3.65,17
266,,2,,0.0,0
267,,0,,0.0,0
268,,46,0,4.2,40
269,,3,,3.0,1
270,,12,,0.0,0
271,,2,,5.0,1
272,,1,,0.0,0
273,,15,15,4.0,375
274,,2,,4.0,1
275,,0,0,0.0,0
276,,2,,0.0,0
277,,10,,3.75,12
278,,4,,3.0,1
279,,14,,3.22,9
280,,0,,0.0,0
281,,22,6,4.42,120
282,,8,3,3.66,495
284,Contemporary|Poetry,24,17,3.77,590
285,Literature & Fiction,20,2,3.33,594
286,,20,1,3.19,118
287,,2,,0.0,0
288,,20,4,3.05,328
289,,8,3,4.0,2
290,,23,27,3.53,2117
291,,0,,0.0,0
292,Literature & Fiction|Short Stories|Gay & Lesbian,14,11,3.62,809
293,Biography|Memoir|Historical Fiction,42,1067,4.11,41179
294,,15,4,3.34,169
295,,25,3,3.71,227
296,,158,,3.38,74
297,,1,,0.0,0
298,,1,,0.0,0
299,,2,,4.5,2
300,,2,,0.0,0
301,,1,,0.0,0
302,,14,5,3.64,89
303,,8,,3.63,16
304,,3,,1.0,1
305,,11,,4.17,6
306,,0,,0.0,0
308,,19,1,3.97,73
309,,4,,0.0,0
310,,34,,3.89,733
311,,15,4,3.37,101
312,,19,,3.33,6
313,,0,0,0.0,0
314,,1,,0.0,0
315,,29,6,3.54,339
316,,16,39,3.61,794
317,,0,,0.0,0
318,,7,1,3.0,9
320,,4,,0.0,0
321,,1,,3.33,3
322,,18,2,2.96,116
323,Fiction|Nonfiction,15,1,3.47,15
324,Poetry|Philosophy,66,12,3.9,237
325,,0,,0.0,0
326,Fiction,3,,3.2,5
