author_id,book_title,publisher,release_year,perlentaucher_url
467,Schöne Frauen lesen,Luchterhand Literaturverlag,2008,https://www.perlentaucher.de/buch/ulrike-draesner/schoene-frauen-lesen.html
467,Vorliebe. Roman,Luchterhand Literaturverlag,2010,https://www.perlentaucher.de/buch/ulrike-draesner/vorliebe.html
467,"Heimliche Helden. Über Heinrich von Kleist, James Joyce, Thomas Mann, Gottfried Benn, Karl Valentin u.v.a",Luchterhand Literaturverlag,2013,https://www.perlentaucher.de/buch/ulrike-draesner/heimliche-helden.html
467,Sieben Sprünge vom Rand der Welt. Roman,Luchterhand Literaturverlag,2014,https://www.perlentaucher.de/buch/ulrike-draesner/sieben-spruenge-vom-rand-der-welt.html
467,Subsong. Gedichte,Luchterhand Literaturverlag,2014,https://www.perlentaucher.de/buch/ulrike-draesner/subsong.html
467,Mein Hiddensee,Marebuchverlag,2015,https://www.perlentaucher.de/buch/ulrike-draesner/mein-hiddensee.html
467,Happy Aging. Ulrike Draesner erzählt ihre Wechseljahre. 2CDs,Suppose Verlag,2016,https://www.perlentaucher.de/buch/ulrike-draesner/happy-aging.html
467,Nibelungen. Heimsuchung,Philipp Reclam jun. Verlag,2016,https://www.perlentaucher.de/buch/ulrike-draesner/nibelungen-heimsuchung.html
467,Grammatik der Gespenster. Frankfurter Poetikvorlesungen,Reclam Verlag,2018,https://www.perlentaucher.de/buch/ulrike-draesner/grammatik-der-gespenster.html
467,Eine Frau wird älter. Ein Aufbruch,Penguin Verlag,2018,https://www.perlentaucher.de/buch/ulrike-draesner/eine-frau-wird-aelter.html
467,Kanalschwimmer. Roman,Marebuchverlag,2019,https://www.perlentaucher.de/buch/ulrike-draesner/kanalschwimmer.html
467,Richtig liegen. Geschichten in Paaren,Luchterhand Literaturverlag,2011,https://www.perlentaucher.de/buch/ulrike-draesner/richtig-liegen.html
468,Entgleisungen. Erzählung,Ammann Verlag,2001,https://www.perlentaucher.de/buch/patrick-kokontis/entgleisungen.html
469,Papiergewicht. Roman,Luchterhand Literaturverlag,2001,https://www.perlentaucher.de/buch/stephan-reimertz/papiergewicht.html
469,Max Beckmann. Biografie,Luchterhand Literaturverlag,2003,https://www.perlentaucher.de/buch/stephan-reimertz/max-beckmann.html
470,Die Endlichkeit des Lichts. Roman,Berlin Verlag,2001,https://www.perlentaucher.de/buch/susanne-riedel/die-endlichkeit-des-lichts.html
470,Kains Töchter. Roman,Rowohlt Berlin Verlag,2000,https://www.perlentaucher.de/buch/susanne-riedel/kains-toechter.html
470,Eine Frau aus Amerika. Roman,Berlin Verlag,2003,https://www.perlentaucher.de/buch/susanne-riedel/eine-frau-aus-amerika.html
471, Die Leidensblume von Nattersheim. Roman,Liebeskind Verlagsbuchhandlung,2005,https://www.perlentaucher.de/buch/martina-kieninger/die-leidensblume-von-nattersheim.html
472,Ich. Frankfurter Poetikvorlesungen,Suhrkamp Verlag,2006,https://www.perlentaucher.de/buch/andreas-maier/ich.html
472,Bullau. Versuch über Natur,Heinrich &amp; Hahn Verlag,2006,https://www.perlentaucher.de/buch/christine-buechner-andreas-maier/bullau.html
472,Sanssouci. Roman,Suhrkamp Verlag,2009,https://www.perlentaucher.de/buch/andreas-maier/sanssouci.html
472,Wäldchestag. Roman,Suhrkamp Verlag,2000,https://www.perlentaucher.de/buch/andreas-maier/waeldchestag.html
472,Klausen. Roman,Suhrkamp Verlag,2002,https://www.perlentaucher.de/buch/andreas-maier/klausen.html
472,Kirillow. Roman,Suhrkamp Verlag,2005,https://www.perlentaucher.de/buch/andreas-maier/kirillow.html
472,Onkel J.. Heimatkunde,Suhrkamp Verlag,2010,https://www.perlentaucher.de/buch/andreas-maier/onkel-j.html
472,Die Verführung. Thomas Bernhards Prosa. Dissertation,Wallstein Verlag,2004,https://www.perlentaucher.de/buch/andreas-maier/die-verfuehrung.html
472,Das Haus. Roman,Suhrkamp Verlag,2011,https://www.perlentaucher.de/buch/andreas-maier/das-haus.html
472,Die Straße. Roman,Suhrkamp Verlag,2013,https://www.perlentaucher.de/buch/andreas-maier/die-strasse.html
472,Der Ort. Roman,Suhrkamp Verlag,2015,https://www.perlentaucher.de/buch/andreas-maier/der-ort.html
472,Mein Jahr ohne Udo Jürgens,Suhrkamp Verlag,2015,https://www.perlentaucher.de/buch/andreas-maier/mein-jahr-ohne-udo-juergens.html
472,Der Kreis. Roman,Suhrkamp Verlag,2016,https://www.perlentaucher.de/buch/andreas-maier/der-kreis.html
472,Die Universität. Roman,Suhrkamp Verlag,2018,https://www.perlentaucher.de/buch/andreas-maier/die-universitaet.html
472,Die Familie. Roman,Suhrkamp Verlag,2019,https://www.perlentaucher.de/buch/andreas-maier/die-familie.html
472,Das Zimmer. Roman,Suhrkamp Verlag,2010,https://www.perlentaucher.de/buch/andreas-maier/das-zimmer.html
473,Nil. Roman,Deuticke Verlag,2001,https://www.perlentaucher.de/buch/martin-amanshauser/nil.html
473,Chicken Christl. Roman,Deuticke Verlag,2004,https://www.perlentaucher.de/buch/martin-amanshauser/chicken-christl.html
473,Der Fisch in der Streichholzschachtel. Roman,Zsolnay Verlag,2015,https://www.perlentaucher.de/buch/martin-amanshauser/der-fisch-in-der-streichholzschachtel.html
473,Logbuch Welt. 52 Reiseziele für Profi-Traveller und chronische Daheimbleiber,Christian Brandstätter Verlag,2007,https://www.perlentaucher.de/buch/martin-amanshauser/logbuch-welt.html
473,Alles klappt nie. Weltraumroman,Deuticke Verlag,2005,https://www.perlentaucher.de/buch/martin-amanshauser/alles-klappt-nie.html
474,Von den Deutschen. Erzählungen,Rowohlt Verlag,2002,https://www.perlentaucher.de/buch/georg-klein/von-den-deutschen.html
474,Anrufung des blinden Fisches. Erzählungen,Alexander Fest Verlag,1999,https://www.perlentaucher.de/buch/georg-klein/anrufung-des-blinden-fisches.html
474,Barbar Rosa. Eine Detektivgeschichte,Alexander Fest Verlag,2001,https://www.perlentaucher.de/buch/georg-klein/barbar-rosa.html
474,Die Sonne scheint uns. Roman,Rowohlt Verlag,2004,https://www.perlentaucher.de/buch/georg-klein/die-sonne-scheint-uns.html
