author_id,book_title,publisher,release_year,perlentaucher_url
31,"Das Glück der Musik. Vom Vergnügen, Mozart zu hören",Luchterhand Literaturverlag,2006,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/das-glueck-der-musik.html"
31,"Die geheimen Stunden der Nacht. Roman",Luchterhand Literaturverlag,2005,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/die-geheimen-stunden-der-nacht.html"
31,"Venedig. Eine Verführung",Sanssouci Verlag,2004,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/venedig.html"
31,"Die weißen Inseln der Zeit. Orte. Bilder. Lektüren",Luchterhand Literaturverlag,2004,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/die-weissen-inseln-der-zeit.html"
31,"Die große Liebe. Roman",Luchterhand Literaturverlag,2003,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/die-grosse-liebe.html"
31,"Lo und Lu. Roman eines Vaters",Luchterhand Literaturverlag,2001,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/lo-und-lu.html"
31,"Die Nacht des Don Juan. Roman",Luchterhand Literaturverlag,2000,"https://www.perlentaucher.de/buch/hanns-josef-ortheil/die-nacht-des-don-juan.html"
33,"Wandlung. Roman zur Jahrtausendwende",Stämpfli Verlag,2012,"https://www.perlentaucher.de/buch/e-y-meyer/wandlung.html"
33,"Der Ritt. Ein Gotthelf-Roman",Folio Verlag,2004,"https://www.perlentaucher.de/buch/e-y-meyer/der-ritt.html"
35,"Das Klavier auf dem Schillerstein",Nimbus Verlag,2017,"https://www.perlentaucher.de/buch/gertrud-leutenegger/das-klavier-auf-dem-schillerstein.html"
35,"Panischer Frühling. Roman",Suhrkamp Verlag,2014,"https://www.perlentaucher.de/buch/gertrud-leutenegger/panischer-fruehling.html"
35,"Matutin. Roman",Suhrkamp Verlag,2008,"https://www.perlentaucher.de/buch/gertrud-leutenegger/matutin.html"
35,"Gleich nach dem Gotthard kommt der Mailänder Dom. Geschichten und andere Prosa",Suhrkamp Verlag,2006,"https://www.perlentaucher.de/buch/gertrud-leutenegger/gleich-nach-dem-gotthard-kommt-der-mailaender-dom.html"
35,"Pomona. Roman",Suhrkamp Verlag,2004,"https://www.perlentaucher.de/buch/gertrud-leutenegger/pomona.html"
36,"Geisterbahn. Roman",Jung und Jung Verlag,2018,"https://www.perlentaucher.de/buch/ursula-krechel/geisterbahn.html"
